Customer_ID,Recency_Days,Frequency_Orders,Monetary_Spend,Preferred_Channel
CUST-9001,5,45,12450.50,Mobile App
CUST-9002,12,38,9800.00,Web
CUST-9003,8,30,8200.25,Web
CUST-9004,25,22,5400.00,In-Store
CUST-9005,18,19,4600.75,Mobile App
CUST-9006,4,1,250.00,Web
CUST-9007,15,2,420.00,Mobile App
CUST-9008,9,3,680.50,Web
CUST-9009,2,1,180.00,In-Store
CUST-9010,22,2,390.00,Web
CUST-9011,110,48,11200.00,Mobile App
CUST-9012,145,52,14500.80,Web
CUST-9013,95,35,8900.00,In-Store
CUST-9014,130,29,7600.50,Web
CUST-9015,160,40,9950.00,Mobile App
CUST-9016,85,12,3100.00,Web
CUST-9017,65,8,2200.50,In-Store
CUST-9018,42,15,3800.00,Mobile App
CUST-9019,55,10,2750.25,Web
CUST-9020,70,14,3400.00,Mobile App
CUST-9021,210,1,120.00,Web
CUST-9022,250,2,240.00,In-Store
CUST-9023,180,1,150.50,Mobile App
CUST-9024,310,3,410.00,Web
CUST-9025,290,1,95.00,In-Store
CUST-9026,14,25,6200.00,Web
CUST-9027,7,31,7800.50,Mobile App
CUST-9028,21,18,4900.00,Web
CUST-9029,30,12,2950.00,In-Store
CUST-9030,3,40,10500.00,Mobile App
CUST-9031,115,2,350.00,Web
CUST-9032,140,1,190.00,In-Store
CUST-9033,90,4,820.00,Mobile App
CUST-9034,165,2,290.00,Web
CUST-9035,200,3,510.00,In-Store
CUST-9036,6,50,13800.00,Mobile App
CUST-9037,10,42,11900.00,Web
CUST-9038,1,36,9200.00,Mobile App
CUST-9039,19,28,6700.50,Web
CUST-9040,16,24,5800.00,In-Store
CUST-9041,105,45,12900.00,Web
CUST-9042,125,38,9400.00,Mobile App
CUST-9043,150,55,15200.00,In-Store
CUST-9044,175,41,10800.00,Web
CUST-9045,190,32,7900.00,Mobile App
CUST-9046,50,16,4100.00,Web
CUST-9047,38,20,5300.00,In-Store
CUST-9048,45,14,3600.00,Mobile App
CUST-9049,60,11,2800.00,Web
CUST-9050,75,9,2100.00,In-Store
CUST-9051,230,2,280.00,Web
CUST-9052,270,1,110.00,Mobile App
CUST-9053,300,1,130.00,In-Store
CUST-9054,340,2,320.00,Web
CUST-9055,360,1,85.00,Mobile App
